frame_number,x_center,y_center,x_size,y_size
715,784.0,326.0,64,86
716,791.5,331.0,63,88
717,797.5,303.0,65,84
718,803.0,295.5,68,79
719,818.0,289.5,72,75
720,834.5,285.0,77,72
721,843.0,282.5,78,69
722,854.0,284.0,80,66
723,865.5,285.0,79,66
724,872.5,288.5,79,67
725,885.0,294.0,78,70
726,894.5,306.0,77,74
727,907.0,317.0,76,74
728,911.5,335.5,75,75
729,911.5,374.5,73,77
730,908.5,376.5,73,77
731,903.5,305.0,69,82
732,899.5,266.5,67,87
733,893.5,229.5,65,93
734,890.0,197.5,68,91
735,885.0,175.5,68,87
736,880.0,152.5,66,87
737,875.0,119.5,68,83
738,873.5,99.5,69,79
739,880.5,84.0,71,78
740,897.0,72.5,70,77
741,914.0,53.0,76,68
742,925.0,48.0,78,66
743,901.5,49.5,83,63
744,907.5,52.0,83,62
745,911.0,46.5,84,61
746,917.5,48.0,85,60
747,921.5,48.5,89,57
748,954.5,48.5,93,53
749,940.5,65.5,87,57
750,941.0,69.5,84,59
751,940.0,81.5,78,63
752,932.0,96.0,72,70
753,922.5,123.5,71,71
754,918.0,148.0,70,70
755,916.0,173.5,66,75
756,914.5,205.5,63,83
757,909.0,237.5,62,85
758,900.0,250.0,62,84
759,903.5,248.0,63,84
760,904.5,242.0,63,82
761,898.0,219.5,64,81
762,898.5,206.0,65,80
763,898.0,200.5,64,83
764,896.5,183.0,65,78
765,890.0,175.5,66,73
766,888.0,170.5,66,69
767,884.5,170.5,65,67
768,884.5,173.0,65,66
769,883.0,178.0,64,66
770,881.5,186.5,63,67
771,878.5,201.5,63,69
772,877.5,211.0,63,72
773,877.5,224.5,61,77
774,878.0,237.5,62,77
775,880.5,253.0,63,76
776,884.0,275.5,64,75
777,886.0,279.5,64,75
778,889.0,350.5,58,83
779,891.0,352.5,58,83
780,893.0,382.5,56,89
781,895.0,385.5,56,89
782,899.5,364.0,55,90
783,899.0,374.5,52,95
784,895.5,372.5,51,97
785,893.0,359.5,50,97
786,890.0,356.5,50,97
787,886.0,352.0,50,98
788,878.0,346.0,50,98
789,875.0,342.0,50,98
790,934.5,280.0,57,88
791,942.0,261.5,60,85
792,941.0,251.5,62,81
793,939.0,243.0,66,74
794,928.5,241.0,69,68
795,924.0,241.0,68,66
796,915.0,246.0,68,64
797,905.5,251.0,69,62
798,889.5,259.5,69,61
799,879.0,271.5,68,61
800,876.0,280.5,68,61
801,873.5,288.0,67,62
802,871.5,298.5,65,65
803,865.0,319.0,62,70
804,860.5,324.5,61,73
805,860.0,331.5,60,77
806,855.5,335.0,59,78
807,852.5,335.0,59,78
808,849.5,333.0,59,78
809,844.5,334.0,59,78
810,840.5,332.0,59,78
811,836.5,331.0,59,78
812,829.0,422.5,62,77
813,820.0,412.5,62,75
814,811.0,414.0,62,78
815,804.5,415.0,61,80
816,800.5,418.0,61,82
817,797.0,421.5,60,83
818,798.0,422.5,60,83
819,799.0,420.5,60,83
820,800.0,418.5,60,83
821,802.0,414.5,60,83
822,803.0,412.5,60,83
823,803.0,410.5,60,83
824,738.5,473.0,53,92
825,739.0,471.5,50,95
826,678.0,414.0,44,108
827,676.0,416.5,42,111
828,676.5,418.5,41,115
829,676.5,421.0,39,118
830,678.5,420.5,39,121
831,680.0,420.0,38,124
832,682.0,424.5,38,125
833,684.5,425.5,37,127
834,685.5,426.0,37,128
835,686.5,426.5,37,129
836,685.5,425.0,37,130
837,682.5,425.5,37,131
838,680.5,428.0,37,132
839,678.0,429.0,36,132
840,676.0,427.5,36,133
841,676.0,424.5,36,133
842,677.0,421.0,36,134
843,677.0,418.0,36,134
844,687.0,426.0,36,134
845,686.0,425.5,36,135
